0.00.243.503 W srv  llama_server: -----------------
0.00.243.510 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.243.511 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.243.511 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.243.511 W srv  llama_server: -----------------
0.00.256.723 I srv    load_model: loading model 'C:/code/covenant-agent/baselines/qwen/models/qwen3.5-0.8b-s4-q8-fixed.gguf'
0.02.212.005 I cmn          init: llama threadpool init, n_threads = 12
0.02.283.106 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.02.296.728 I srv  llama_server: model loaded
0.02.296.734 I srv  llama_server: listening on http://127.0.0.1:8079
0.05.831.463 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.05.832.653 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.07.332.222 I slot print_timing: id  3 | task 0 | prompt eval time =     906.44 ms /  1512 tokens (    0.60 ms per token,  1668.06 tokens per second)
0.07.332.240 I slot print_timing: id  3 | task 0 |        eval time =     592.84 ms /    31 tokens (   19.76 ms per token,    50.60 tokens per second)
0.07.332.243 I slot print_timing: id  3 | task 0 |       total time =    1499.28 ms /  1543 tokens
0.07.332.245 I slot print_timing: id  3 | task 0 |    graphs reused =         29
0.07.336.131 I slot      release: id  3 | task 0 | stop processing: n_tokens = 1542, truncated = 0
0.07.527.394 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.508
0.07.528.966 I slot launch_slot_: id  3 | task 34 | processing task, is_child = 0
0.09.066.457 I slot print_timing: id  3 | task 34 | prompt eval time =     889.10 ms /  1513 tokens (    0.59 ms per token,  1701.72 tokens per second)
0.09.066.475 I slot print_timing: id  3 | task 34 |        eval time =     648.32 ms /    30 tokens (   22.36 ms per token,    44.73 tokens per second)
0.09.066.477 I slot print_timing: id  3 | task 34 |       total time =    1537.42 ms /  1543 tokens
0.09.066.479 I slot print_timing: id  3 | task 34 |    graphs reused =         56
0.09.066.733 I slot      release: id  3 | task 34 | stop processing: n_tokens = 1542, truncated = 0
0.09.178.933 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.517 (> 0.100 thold), f_keep = 0.508
0.09.179.579 I slot launch_slot_: id  3 | task 67 | processing task, is_child = 0
0.10.645.146 I slot print_timing: id  3 | task 67 | prompt eval time =     921.71 ms /  1515 tokens (    0.61 ms per token,  1643.69 tokens per second)
0.10.645.162 I slot print_timing: id  3 | task 67 |        eval time =     543.80 ms /    23 tokens (   24.72 ms per token,    40.46 tokens per second)
0.10.645.164 I slot print_timing: id  3 | task 67 |       total time =    1465.51 ms /  1538 tokens
0.10.645.166 I slot print_timing: id  3 | task 67 |    graphs reused =         76
0.10.645.343 I slot      release: id  3 | task 67 | stop processing: n_tokens = 1537, truncated = 0
0.10.799.331 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.510
0.10.800.522 I slot launch_slot_: id  3 | task 93 | processing task, is_child = 0
0.12.325.781 I slot print_timing: id  3 | task 93 | prompt eval time =     880.05 ms /  1514 tokens (    0.58 ms per token,  1720.36 tokens per second)
0.12.325.798 I slot print_timing: id  3 | task 93 |        eval time =     645.14 ms /    30 tokens (   22.25 ms per token,    44.95 tokens per second)
0.12.325.801 I slot print_timing: id  3 | task 93 |       total time =    1525.19 ms /  1544 tokens
0.12.325.802 I slot print_timing: id  3 | task 93 |    graphs reused =        103
0.12.326.018 I slot      release: id  3 | task 93 | stop processing: n_tokens = 1543, truncated = 0
0.12.446.045 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.508
0.12.447.096 I slot launch_slot_: id  3 | task 126 | processing task, is_child = 0
0.13.935.724 I slot print_timing: id  3 | task 126 | prompt eval time =     925.96 ms /  1513 tokens (    0.61 ms per token,  1633.97 tokens per second)
0.13.935.750 I slot print_timing: id  3 | task 126 |        eval time =     562.59 ms /    24 tokens (   24.46 ms per token,    40.88 tokens per second)
0.13.935.762 I slot print_timing: id  3 | task 126 |       total time =    1488.55 ms /  1537 tokens
0.13.935.778 I slot print_timing: id  3 | task 126 |    graphs reused =        125
0.13.936.005 I slot      release: id  3 | task 126 | stop processing: n_tokens = 1536, truncated = 0
0.14.032.632 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.510
0.14.034.161 I slot launch_slot_: id  3 | task 153 | processing task, is_child = 0
0.15.602.347 I slot print_timing: id  3 | task 153 | prompt eval time =     884.56 ms /  1513 tokens (    0.58 ms per token,  1710.45 tokens per second)
