0.00.163.112 W srv  llama_server: -----------------
0.00.163.127 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.163.128 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.163.129 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.163.129 W srv  llama_server: -----------------
0.00.170.854 I srv    load_model: loading model 'C:/code/covenant-agent/baselines/qwen/models/qwen3.5-0.8b-s2r-q8.gguf'
0.05.400.434 I cmn          init: llama threadpool init, n_threads = 12
0.05.603.531 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.05.625.664 I srv  llama_server: model loaded
0.05.625.760 I srv  llama_server: listening on http://127.0.0.1:8078
0.12.589.310 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.12.589.801 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.15.963.957 I slot print_timing: id  3 | task 0 | prompt eval time =    2727.74 ms /  1403 tokens (    1.94 ms per token,   514.34 tokens per second)
0.15.963.971 I slot print_timing: id  3 | task 0 |        eval time =     646.32 ms /    17 tokens (   40.39 ms per token,    24.76 tokens per second)
0.15.963.973 I slot print_timing: id  3 | task 0 |       total time =    3374.06 ms /  1420 tokens
0.15.963.975 I slot print_timing: id  3 | task 0 |    graphs reused =         16
0.15.964.219 I slot      release: id  3 | task 0 | stop processing: n_tokens = 1419, truncated = 0
0.16.223.208 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.496 (> 0.100 thold), f_keep = 0.490
0.16.945.411 I slot launch_slot_: id  3 | task 20 | processing task, is_child = 0
0.20.901.743 I slot print_timing: id  3 | task 20 | prompt eval time =    2420.23 ms /  1404 tokens (    1.72 ms per token,   580.11 tokens per second)
0.20.901.763 I slot print_timing: id  3 | task 20 |        eval time =    1535.96 ms /    37 tokens (   42.67 ms per token,    23.44 tokens per second)
0.20.901.769 I slot print_timing: id  3 | task 20 |       total time =    3956.19 ms /  1441 tokens
0.20.901.771 I slot print_timing: id  3 | task 20 |    graphs reused =         51
0.20.902.024 I slot      release: id  3 | task 20 | stop processing: n_tokens = 1440, truncated = 0
0.21.144.070 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.495 (> 0.100 thold), f_keep = 0.483
0.21.488.006 I slot launch_slot_: id  3 | task 60 | processing task, is_child = 0
0.24.981.404 I slot print_timing: id  3 | task 60 | prompt eval time =    2090.99 ms /  1406 tokens (    1.49 ms per token,   672.41 tokens per second)
0.24.981.417 I slot print_timing: id  3 | task 60 |        eval time =    1402.31 ms /    32 tokens (   45.24 ms per token,    22.11 tokens per second)
0.24.981.420 I slot print_timing: id  3 | task 60 |       total time =    3493.30 ms /  1438 tokens
0.24.981.422 I slot print_timing: id  3 | task 60 |    graphs reused =         81
0.24.981.653 I slot      release: id  3 | task 60 | stop processing: n_tokens = 1437, truncated = 0
0.25.308.200 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.495 (> 0.100 thold), f_keep = 0.484
0.25.845.735 I slot launch_slot_: id  3 | task 95 | processing task, is_child = 0
0.29.621.448 I slot print_timing: id  3 | task 95 | prompt eval time =    2405.16 ms /  1405 tokens (    1.71 ms per token,   584.16 tokens per second)
0.29.621.474 I slot print_timing: id  3 | task 95 |        eval time =    1370.41 ms /    32 tokens (   44.21 ms per token,    22.62 tokens per second)
0.29.621.477 I slot print_timing: id  3 | task 95 |       total time =    3775.57 ms /  1437 tokens
0.29.621.479 I slot print_timing: id  3 | task 95 |    graphs reused =        111
0.29.621.750 I slot      release: id  3 | task 95 | stop processing: n_tokens = 1436, truncated = 0
0.29.883.107 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.496 (> 0.100 thold), f_keep = 0.485
0.30.451.936 I slot launch_slot_: id  3 | task 130 | processing task, is_child = 0
0.33.935.126 I slot print_timing: id  3 | task 130 | prompt eval time =    2400.37 ms /  1404 tokens (    1.71 ms per token,   584.91 tokens per second)
0.33.935.145 I slot print_timing: id  3 | task 130 |        eval time =    1082.67 ms /    35 tokens (   31.84 ms per token,    31.40 tokens per second)
0.33.935.148 I slot print_timing: id  3 | task 130 |       total time =    3483.05 ms /  1439 tokens
0.33.935.151 I slot print_timing: id  3 | task 130 |    graphs reused =        144
0.33.935.417 I slot      release: id  3 | task 130 | stop processing: n_tokens = 1438, truncated = 0
0.34.129.903 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.496 (> 0.100 thold), f_keep = 0.484
0.34.461.891 I slot launch_slot_: id  3 | task 168 | processing task, is_child = 0
0.37.802.623 I slot print_timing: id  3 | task 168 | prompt eval time =    2107.23 ms /  1404 tokens (    1.50 ms per token,   666.28 tokens per second)
0.37.802.643 I slot print_timing: id  3 | task 168 |        eval time =    1233.40 ms /    20 tokens (   64.92 ms per token,    15.40 tokens per second)
0.37.802.645 I slot print_timing: id  3 | task 168 |       total time =    3340.63 ms /  1424 tokens
0.37.802.647 I slot print_timing: id  3 | task 168 |    graphs reused =        162
0.37.802.870 I slot      release: id  3 | task 168 | stop processing: n_tokens = 1423, truncated = 0
0.38.055.154 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.495 (> 0.100 thold), f_keep = 0.489
0.38.756.864 I slot launch_slot_: id  3 | task 191 | processing task, is_child = 0
0.42.770.336 I slot print_timing: id  3 | task 191 | prompt eval time =    2612.53 ms /  1407 tokens (    1.86 ms per token,   538.56 tokens per second)
0.42.770.347 I slot print_timing: id  3 | task 191 |        eval time =    1400.80 ms /    32 tokens (   45.19 ms per token,    22.13 tokens per second)
0.42.770.350 I slot print_timing: id  3 | task 191 |       total time =    4013.33 ms /  1439 tokens
0.42.770.352 I slot print_timing: id  3 | task 191 |    graphs reused =        192
0.42.770.801 I slot      release: id  3 | task 191 | stop processing: n_tokens = 1438, truncated = 0
0.43.308.984 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.496 (> 0.100 thold), f_keep = 0.484
0.44.136.945 I slot launch_slot_: id  3 | task 226 | processing task, is_child = 0
0.48.178.080 I slot print_timing: id  3 | task 226 | prompt eval time =    2616.99 ms /  1404 tokens (    1.86 ms per token,   536.49 tokens per second)
0.48.178.099 I slot print_timing: id  3 | task 226 |        eval time =    1424.01 ms /    32 tokens (   45.94 ms per token,    21.77 tokens per second)
0.48.178.101 I slot print_timing: id  3 | task 226 |       total time =    4041.00 ms /  1436 tokens
0.48.178.103 I slot print_timing: id  3 | task 226 |    graphs reused =        222
0.48.178.284 I slot      release: id  3 | task 226 | stop processing: n_tokens = 1435, truncated = 0
0.48.727.378 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.496 (> 0.100 thold), f_keep = 0.485
0.49.465.960 I slot launch_slot_: id  3 | task 261 | processing task, is_child = 0
0.53.584.157 I slot print_timing: id  3 | task 261 | prompt eval time =    2602.29 ms /  1404 tokens (    1.85 ms per token,   539.52 tokens per second)
0.53.584.174 I slot print_timing: id  3 | task 261 |        eval time =    1515.78 ms /    32 tokens (   48.90 ms per token,    20.45 tokens per second)
0.53.584.178 I slot print_timing: id  3 | task 261 |       total time =    4118.07 ms /  1436 tokens
0.53.584.182 I slot print_timing: id  3 | task 261 |    graphs reused =        252
0.53.584.371 I slot      release: id  3 | task 261 | stop processing: n_tokens = 1435, truncated = 0
0.54.049.328 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.496 (> 0.100 thold), f_keep = 0.485
0.54.598.611 I slot launch_slot_: id  3 | task 296 | processing task, is_child = 0
0.57.577.007 I slot print_timing: id  3 | task 296 | prompt eval time =    1808.38 ms /  1404 tokens (    1.29 ms per token,   776.38 tokens per second)
0.57.577.030 I slot print_timing: id  3 | task 296 |        eval time =    1169.87 ms /    29 tokens (   41.78 ms per token,    23.93 tokens per second)
0.57.577.033 I slot print_timing: id  3 | task 296 |       total time =    2978.26 ms /  1433 tokens
0.57.577.039 I slot print_timing: id  3 | task 296 |    graphs reused =        279
0.57.577.819 I slot      release: id  3 | task 296 | stop processing: n_tokens = 1432, truncated = 0
0.57.956.271 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.494 (> 0.100 thold), f_keep = 0.486
0.58.432.939 I slot launch_slot_: id  3 | task 328 | processing task, is_child = 0
