0.00.376.923 W srv  llama_server: -----------------
0.00.376.945 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.376.947 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.376.948 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.376.949 W srv  llama_server: -----------------
0.00.390.725 I srv    load_model: loading model 'C:/code/covenant-agent/baselines/qwen/models/qwen3.5-0.8b-s4-q8-fixed.gguf'
0.07.039.225 I cmn          init: llama threadpool init, n_threads = 12
0.07.209.938 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.07.271.571 I srv  llama_server: model loaded
0.07.271.590 I srv  llama_server: listening on http://127.0.0.1:8079
0.13.574.713 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.13.577.613 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.17.620.346 I slot print_timing: id  3 | task 0 | prompt eval time =    2498.61 ms /  1512 tokens (    1.65 ms per token,   605.14 tokens per second)
0.17.620.371 I slot print_timing: id  3 | task 0 |        eval time =    1543.24 ms /    31 tokens (   51.44 ms per token,    19.44 tokens per second)
0.17.620.374 I slot print_timing: id  3 | task 0 |       total time =    4041.85 ms /  1543 tokens
0.17.620.376 I slot print_timing: id  3 | task 0 |    graphs reused =         29
0.17.622.178 I slot      release: id  3 | task 0 | stop processing: n_tokens = 1542, truncated = 0
0.17.969.375 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.508
0.17.972.011 I slot launch_slot_: id  3 | task 34 | processing task, is_child = 0
0.21.452.100 I slot print_timing: id  3 | task 34 | prompt eval time =    1978.54 ms /  1513 tokens (    1.31 ms per token,   764.71 tokens per second)
0.21.452.121 I slot print_timing: id  3 | task 34 |        eval time =    1501.44 ms /    30 tokens (   51.77 ms per token,    19.31 tokens per second)
0.21.452.124 I slot print_timing: id  3 | task 34 |       total time =    3479.97 ms /  1543 tokens
0.21.452.126 I slot print_timing: id  3 | task 34 |    graphs reused =         56
0.21.452.320 I slot      release: id  3 | task 34 | stop processing: n_tokens = 1542, truncated = 0
0.21.741.111 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.517 (> 0.100 thold), f_keep = 0.508
0.21.742.997 I slot launch_slot_: id  3 | task 67 | processing task, is_child = 0
0.25.682.390 I slot print_timing: id  3 | task 67 | prompt eval time =    2482.82 ms /  1515 tokens (    1.64 ms per token,   610.19 tokens per second)
0.25.682.413 I slot print_timing: id  3 | task 67 |        eval time =    1456.43 ms /    23 tokens (   66.20 ms per token,    15.11 tokens per second)
0.25.682.415 I slot print_timing: id  3 | task 67 |       total time =    3939.26 ms /  1538 tokens
0.25.682.418 I slot print_timing: id  3 | task 67 |    graphs reused =         76
0.25.682.672 I slot      release: id  3 | task 67 | stop processing: n_tokens = 1537, truncated = 0
0.25.969.420 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.510
0.25.972.131 I slot launch_slot_: id  3 | task 93 | processing task, is_child = 0
0.30.186.336 I slot print_timing: id  3 | task 93 | prompt eval time =    2386.95 ms /  1514 tokens (    1.58 ms per token,   634.28 tokens per second)
0.30.186.355 I slot print_timing: id  3 | task 93 |        eval time =    1826.30 ms /    30 tokens (   62.98 ms per token,    15.88 tokens per second)
0.30.186.357 I slot print_timing: id  3 | task 93 |       total time =    4213.25 ms /  1544 tokens
0.30.186.361 I slot print_timing: id  3 | task 93 |    graphs reused =        103
0.30.186.621 I slot      release: id  3 | task 93 | stop processing: n_tokens = 1543, truncated = 0
0.30.476.637 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.508
0.30.478.741 I slot launch_slot_: id  3 | task 126 | processing task, is_child = 0
0.34.295.611 I slot print_timing: id  3 | task 126 | prompt eval time =    2437.87 ms /  1513 tokens (    1.61 ms per token,   620.62 tokens per second)
0.34.295.633 I slot print_timing: id  3 | task 126 |        eval time =    1378.79 ms /    24 tokens (   59.95 ms per token,    16.68 tokens per second)
0.34.295.636 I slot print_timing: id  3 | task 126 |       total time =    3816.66 ms /  1537 tokens
0.34.295.639 I slot print_timing: id  3 | task 126 |    graphs reused =        125
0.34.295.928 I slot      release: id  3 | task 126 | stop processing: n_tokens = 1536, truncated = 0
0.34.519.871 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.510
0.34.521.496 I slot launch_slot_: id  3 | task 153 | processing task, is_child = 0
0.37.946.753 I slot print_timing: id  3 | task 153 | prompt eval time =    2274.00 ms /  1513 tokens (    1.50 ms per token,   665.35 tokens per second)
0.37.946.773 I slot print_timing: id  3 | task 153 |        eval time =    1151.16 ms /    31 tokens (   38.37 ms per token,    26.06 tokens per second)
0.37.946.776 I slot print_timing: id  3 | task 153 |       total time =    3425.16 ms /  1544 tokens
0.37.946.777 I slot print_timing: id  3 | task 153 |    graphs reused =        153
0.37.946.986 I slot      release: id  3 | task 153 | stop processing: n_tokens = 1543, truncated = 0
0.38.144.549 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.517 (> 0.100 thold), f_keep = 0.508
0.38.145.545 I slot launch_slot_: id  3 | task 187 | processing task, is_child = 0
0.42.678.908 I slot print_timing: id  3 | task 187 | prompt eval time =    2393.44 ms /  1516 tokens (    1.58 ms per token,   633.40 tokens per second)
0.42.678.931 I slot print_timing: id  3 | task 187 |        eval time =    2139.85 ms /    35 tokens (   62.94 ms per token,    15.89 tokens per second)
0.42.678.934 I slot print_timing: id  3 | task 187 |       total time =    4533.28 ms /  1551 tokens
0.42.678.935 I slot print_timing: id  3 | task 187 |    graphs reused =        185
0.42.679.175 I slot      release: id  3 | task 187 | stop processing: n_tokens = 1550, truncated = 0
0.42.995.346 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.506
0.42.998.341 I slot launch_slot_: id  3 | task 225 | processing task, is_child = 0
0.47.392.846 I slot print_timing: id  3 | task 225 | prompt eval time =    2651.19 ms /  1513 tokens (    1.75 ms per token,   570.69 tokens per second)
0.47.392.865 I slot print_timing: id  3 | task 225 |        eval time =    1743.17 ms /    32 tokens (   56.23 ms per token,    17.78 tokens per second)
0.47.392.867 I slot print_timing: id  3 | task 225 |       total time =    4394.36 ms /  1545 tokens
0.47.392.868 I slot print_timing: id  3 | task 225 |    graphs reused =        214
0.47.393.128 I slot      release: id  3 | task 225 | stop processing: n_tokens = 1544, truncated = 0
0.47.706.658 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.508
0.47.709.020 I slot launch_slot_: id  3 | task 260 | processing task, is_child = 0
0.51.674.128 I slot print_timing: id  3 | task 260 | prompt eval time =    2536.24 ms /  1513 tokens (    1.68 ms per token,   596.55 tokens per second)
0.51.674.146 I slot print_timing: id  3 | task 260 |        eval time =    1428.73 ms /    23 tokens (   64.94 ms per token,    15.40 tokens per second)
0.51.674.149 I slot print_timing: id  3 | task 260 |       total time =    3964.96 ms /  1536 tokens
0.51.674.150 I slot print_timing: id  3 | task 260 |    graphs reused =        235
0.51.674.485 I slot      release: id  3 | task 260 | stop processing: n_tokens = 1535, truncated = 0
0.51.920.614 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.511
0.51.921.929 I slot launch_slot_: id  3 | task 286 | processing task, is_child = 0
0.55.130.089 I slot print_timing: id  3 | task 286 | prompt eval time =    2052.82 ms /  1513 tokens (    1.36 ms per token,   737.04 tokens per second)
0.55.130.107 I slot print_timing: id  3 | task 286 |        eval time =    1155.22 ms /    31 tokens (   38.51 ms per token,    25.97 tokens per second)
0.55.130.109 I slot print_timing: id  3 | task 286 |       total time =    3208.03 ms /  1544 tokens
0.55.130.110 I slot print_timing: id  3 | task 286 |    graphs reused =        263
0.55.130.273 I slot      release: id  3 | task 286 | stop processing: n_tokens = 1543, truncated = 0
0.55.358.132 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.508
0.55.359.747 I slot launch_slot_: id  3 | task 320 | processing task, is_child = 0
0.58.228.444 I slot print_timing: id  3 | task 320 | prompt eval time =    2410.07 ms /  1513 tokens (    1.59 ms per token,   627.78 tokens per second)
0.58.228.463 I slot print_timing: id  3 | task 320 |        eval time =     458.52 ms /    11 tokens (   45.85 ms per token,    21.81 tokens per second)
0.58.228.466 I slot print_timing: id  3 | task 320 |       total time =    2868.59 ms /  1524 tokens
0.58.228.469 I slot print_timing: id  3 | task 320 |    graphs reused =        272
0.58.228.940 I slot      release: id  3 | task 320 | stop processing: n_tokens = 1523, truncated = 0
0.58.501.882 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.515 (> 0.100 thold), f_keep = 0.515
0.58.503.721 I slot launch_slot_: id  3 | task 334 | processing task, is_child = 0
1.02.465.269 I slot print_timing: id  3 | task 334 | prompt eval time =    2441.53 ms /  1525 tokens (    1.60 ms per token,   624.61 tokens per second)
1.02.465.295 I slot print_timing: id  3 | task 334 |        eval time =    1519.88 ms /    32 tokens (   49.03 ms per token,    20.40 tokens per second)
1.02.465.298 I slot print_timing: id  3 | task 334 |       total time =    3961.41 ms /  1557 tokens
1.02.465.301 I slot print_timing: id  3 | task 334 |    graphs reused =        301
1.02.465.613 I slot      release: id  3 | task 334 | stop processing: n_tokens = 1556, truncated = 0
1.02.722.732 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.504
1.02.724.214 I slot launch_slot_: id  3 | task 369 | processing task, is_child = 0
1.07.535.300 I slot print_timing: id  3 | task 369 | prompt eval time =    2416.52 ms /  1515 tokens (    1.60 ms per token,   626.94 tokens per second)
1.07.535.323 I slot print_timing: id  3 | task 369 |        eval time =    2394.45 ms /    33 tokens (   74.83 ms per token,    13.36 tokens per second)
1.07.535.326 I slot print_timing: id  3 | task 369 |       total time =    4810.97 ms /  1548 tokens
1.07.535.328 I slot print_timing: id  3 | task 369 |    graphs reused =        331
1.07.535.652 I slot      release: id  3 | task 369 | stop processing: n_tokens = 1547, truncated = 0
1.07.761.401 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.507
1.07.763.850 I slot launch_slot_: id  3 | task 405 | processing task, is_child = 0
1.11.732.598 I slot print_timing: id  3 | task 405 | prompt eval time =    2451.78 ms /  1514 tokens (    1.62 ms per token,   617.51 tokens per second)
1.11.732.678 I slot print_timing: id  3 | task 405 |        eval time =    1516.68 ms /    31 tokens (   50.56 ms per token,    19.78 tokens per second)
1.11.732.681 I slot print_timing: id  3 | task 405 |       total time =    3968.46 ms /  1545 tokens
1.11.732.685 I slot print_timing: id  3 | task 405 |    graphs reused =        359
1.11.733.334 I slot      release: id  3 | task 405 | stop processing: n_tokens = 1544, truncated = 0
1.11.959.034 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.519 (> 0.100 thold), f_keep = 0.508
1.11.959.968 I slot launch_slot_: id  3 | task 439 | processing task, is_child = 0
1.14.330.842 I slot print_timing: id  3 | task 439 | prompt eval time =    1836.75 ms /  1513 tokens (    1.21 ms per token,   823.74 tokens per second)
1.14.330.857 I slot print_timing: id  3 | task 439 |        eval time =     534.05 ms /    11 tokens (   53.40 ms per token,    18.72 tokens per second)
1.14.330.860 I slot print_timing: id  3 | task 439 |       total time =    2370.80 ms /  1524 tokens
1.14.330.862 I slot print_timing: id  3 | task 439 |    graphs reused =        368
1.14.331.179 I slot      release: id  3 | task 439 | stop processing: n_tokens = 1523, truncated = 0
1.14.613.236 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.515 (> 0.100 thold), f_keep = 0.515
1.14.614.842 I slot launch_slot_: id  3 | task 453 | processing task, is_child = 0
1.18.212.359 I slot print_timing: id  3 | task 453 | prompt eval time =    2419.07 ms /  1523 tokens (    1.59 ms per token,   629.58 tokens per second)
1.18.212.969 I slot print_timing: id  3 | task 453 |        eval time =    1178.33 ms /    23 tokens (   53.56 ms per token,    18.67 tokens per second)
1.18.212.984 I slot print_timing: id  3 | task 453 |       total time =    3597.40 ms /  1546 tokens
1.18.212.988 I slot print_timing: id  3 | task 453 |    graphs reused =        388
1.18.213.467 I slot      release: id  3 | task 453 | stop processing: n_tokens = 1545, truncated = 0
1.18.443.698 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.520 (> 0.100 thold), f_keep = 0.508
1.18.445.317 I slot launch_slot_: id  3 | task 479 | processing task, is_child = 0
1.22.285.811 I slot print_timing: id  3 | task 479 | prompt eval time =    2319.26 ms /  1511 tokens (    1.53 ms per token,   651.50 tokens per second)
1.22.285.869 I slot print_timing: id  3 | task 479 |        eval time =    1521.02 ms /    31 tokens (   50.70 ms per token,    19.72 tokens per second)
1.22.285.880 I slot print_timing: id  3 | task 479 |       total time =    3840.28 ms /  1542 tokens
1.22.285.886 I slot print_timing: id  3 | task 479 |    graphs reused =        416
1.22.286.267 I slot      release: id  3 | task 479 | stop processing: n_tokens = 1541, truncated = 0
1.22.534.661 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.519 (> 0.100 thold), f_keep = 0.509
1.22.536.925 I slot launch_slot_: id  3 | task 513 | processing task, is_child = 0
1.26.398.415 I slot print_timing: id  3 | task 513 | prompt eval time =    2473.32 ms /  1513 tokens (    1.63 ms per token,   611.73 tokens per second)
1.26.398.440 I slot print_timing: id  3 | task 513 |        eval time =    1388.04 ms /    24 tokens (   60.35 ms per token,    16.57 tokens per second)
1.26.398.442 I slot print_timing: id  3 | task 513 |       total time =    3861.37 ms /  1537 tokens
1.26.398.444 I slot print_timing: id  3 | task 513 |    graphs reused =        438
1.26.398.664 I slot      release: id  3 | task 513 | stop processing: n_tokens = 1536, truncated = 0
1.26.678.101 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.519 (> 0.100 thold), f_keep = 0.511
1.26.679.697 I slot launch_slot_: id  3 | task 540 | processing task, is_child = 0
1.30.841.631 I slot print_timing: id  3 | task 540 | prompt eval time =    2431.19 ms /  1512 tokens (    1.61 ms per token,   621.92 tokens per second)
1.30.841.652 I slot print_timing: id  3 | task 540 |        eval time =    1730.63 ms /    30 tokens (   59.68 ms per token,    16.76 tokens per second)
1.30.841.654 I slot print_timing: id  3 | task 540 |       total time =    4161.82 ms /  1542 tokens
1.30.841.659 I slot print_timing: id  3 | task 540 |    graphs reused =        465
1.30.841.851 I slot      release: id  3 | task 540 | stop processing: n_tokens = 1541, truncated = 0
1.31.050.440 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.509
1.31.052.756 I slot launch_slot_: id  3 | task 573 | processing task, is_child = 0
1.34.232.010 I slot print_timing: id  3 | task 573 | prompt eval time =    1861.49 ms /  1516 tokens (    1.23 ms per token,   814.40 tokens per second)
1.34.232.028 I slot print_timing: id  3 | task 573 |        eval time =    1317.66 ms /    29 tokens (   47.06 ms per token,    21.25 tokens per second)
1.34.232.030 I slot print_timing: id  3 | task 573 |       total time =    3179.16 ms /  1545 tokens
1.34.232.032 I slot print_timing: id  3 | task 573 |    graphs reused =        491
1.34.232.232 I slot      release: id  3 | task 573 | stop processing: n_tokens = 1544, truncated = 0
1.34.469.548 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.519 (> 0.100 thold), f_keep = 0.508
1.34.470.928 I slot launch_slot_: id  3 | task 605 | processing task, is_child = 0
1.38.235.222 I slot print_timing: id  3 | task 605 | prompt eval time =    2421.39 ms /  1512 tokens (    1.60 ms per token,   624.43 tokens per second)
1.38.235.241 I slot print_timing: id  3 | task 605 |        eval time =    1342.78 ms /    24 tokens (   58.38 ms per token,    17.13 tokens per second)
1.38.235.244 I slot print_timing: id  3 | task 605 |       total time =    3764.17 ms /  1536 tokens
1.38.235.246 I slot print_timing: id  3 | task 605 |    graphs reused =        513
1.38.235.542 I slot      release: id  3 | task 605 | stop processing: n_tokens = 1535, truncated = 0
1.38.503.161 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.511
1.38.504.823 I slot launch_slot_: id  3 | task 632 | processing task, is_child = 0
1.42.019.977 I slot print_timing: id  3 | task 632 | prompt eval time =    2476.40 ms /  1514 tokens (    1.64 ms per token,   611.37 tokens per second)
1.42.019.993 I slot print_timing: id  3 | task 632 |        eval time =    1038.65 ms /    32 tokens (   33.50 ms per token,    29.85 tokens per second)
1.42.019.996 I slot print_timing: id  3 | task 632 |       total time =    3515.05 ms /  1546 tokens
1.42.019.997 I slot print_timing: id  3 | task 632 |    graphs reused =        542
1.42.020.276 I slot      release: id  3 | task 632 | stop processing: n_tokens = 1545, truncated = 0
1.42.219.147 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.519 (> 0.100 thold), f_keep = 0.507
1.42.220.413 I slot launch_slot_: id  3 | task 667 | processing task, is_child = 0
1.46.084.259 I slot print_timing: id  3 | task 667 | prompt eval time =    2324.98 ms /  1512 tokens (    1.54 ms per token,   650.33 tokens per second)
1.46.084.276 I slot print_timing: id  3 | task 667 |        eval time =    1538.75 ms /    32 tokens (   49.64 ms per token,    20.15 tokens per second)
1.46.084.278 I slot print_timing: id  3 | task 667 |       total time =    3863.73 ms /  1544 tokens
1.46.084.279 I slot print_timing: id  3 | task 667 |    graphs reused =        571
1.46.084.470 I slot      release: id  3 | task 667 | stop processing: n_tokens = 1543, truncated = 0
1.46.362.040 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.508
1.46.363.660 I slot launch_slot_: id  3 | task 702 | processing task, is_child = 0
1.50.615.203 I slot print_timing: id  3 | task 702 | prompt eval time =    2654.50 ms /  1514 tokens (    1.75 ms per token,   570.35 tokens per second)
1.50.615.222 I slot print_timing: id  3 | task 702 |        eval time =    1596.91 ms /    24 tokens (   69.43 ms per token,    14.40 tokens per second)
1.50.615.224 I slot print_timing: id  3 | task 702 |       total time =    4251.41 ms /  1538 tokens
1.50.615.227 I slot print_timing: id  3 | task 702 |    graphs reused =        592
1.50.615.501 I slot      release: id  3 | task 702 | stop processing: n_tokens = 1537, truncated = 0
1.50.934.500 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.510
1.50.936.280 I slot launch_slot_: id  3 | task 729 | processing task, is_child = 0
1.55.318.031 I slot print_timing: id  3 | task 729 | prompt eval time =    2658.14 ms /  1514 tokens (    1.76 ms per token,   569.57 tokens per second)
