registered 143 generated domains
200/4375 (resamples: 4, noops dropped: 33)
400/4375 (resamples: 8, noops dropped: 67)
600/4375 (resamples: 9, noops dropped: 104)
800/4375 (resamples: 10, noops dropped: 120)
1000/4375 (resamples: 15, noops dropped: 154)
1200/4375 (resamples: 18, noops dropped: 175)
1400/4375 (resamples: 20, noops dropped: 202)
1600/4375 (resamples: 25, noops dropped: 219)
1800/4375 (resamples: 26, noops dropped: 242)
2000/4375 (resamples: 32, noops dropped: 279)
2200/4375 (resamples: 35, noops dropped: 306)
2400/4375 (resamples: 37, noops dropped: 346)
2600/4375 (resamples: 40, noops dropped: 368)
2800/4375 (resamples: 40, noops dropped: 395)
3000/4375 (resamples: 42, noops dropped: 428)
3200/4375 (resamples: 43, noops dropped: 453)
3400/4375 (resamples: 48, noops dropped: 482)
3600/4375 (resamples: 49, noops dropped: 503)
3800/4375 (resamples: 57, noops dropped: 527)
4000/4375 (resamples: 59, noops dropped: 555)
4200/4375 (resamples: 62, noops dropped: 581)
wrote 4375 tasks -> data\s2_shards\plain_3.jsonl (resamples: 66, noops dropped: 606)
