registered 143 generated domains
200/3250 (resamples: 3, noops dropped: 25)
400/3250 (resamples: 4, noops dropped: 56)
600/3250 (resamples: 6, noops dropped: 81)
800/3250 (resamples: 10, noops dropped: 118)
1000/3250 (resamples: 10, noops dropped: 143)
1200/3250 (resamples: 12, noops dropped: 179)
1400/3250 (resamples: 16, noops dropped: 204)
1600/3250 (resamples: 18, noops dropped: 236)
1800/3250 (resamples: 23, noops dropped: 247)
2000/3250 (resamples: 27, noops dropped: 281)
2200/3250 (resamples: 33, noops dropped: 303)
2400/3250 (resamples: 33, noops dropped: 320)
2600/3250 (resamples: 38, noops dropped: 340)
2800/3250 (resamples: 42, noops dropped: 376)
3000/3250 (resamples: 45, noops dropped: 405)
3200/3250 (resamples: 50, noops dropped: 429)
wrote 3250 tasks -> data\s4c_shards\crowded_6.jsonl (resamples: 51, noops dropped: 432)
