registered 143 generated domains
200/3750 (resamples: 7, noops dropped: 26)
400/3750 (resamples: 10, noops dropped: 45)
600/3750 (resamples: 18, noops dropped: 60)
800/3750 (resamples: 20, noops dropped: 84)
1000/3750 (resamples: 23, noops dropped: 116)
1200/3750 (resamples: 27, noops dropped: 144)
1400/3750 (resamples: 27, noops dropped: 169)
1600/3750 (resamples: 27, noops dropped: 200)
1800/3750 (resamples: 30, noops dropped: 220)
2000/3750 (resamples: 34, noops dropped: 254)
2200/3750 (resamples: 37, noops dropped: 277)
2400/3750 (resamples: 38, noops dropped: 299)
2600/3750 (resamples: 40, noops dropped: 332)
2800/3750 (resamples: 42, noops dropped: 352)
3000/3750 (resamples: 45, noops dropped: 375)
3200/3750 (resamples: 49, noops dropped: 398)
3400/3750 (resamples: 54, noops dropped: 417)
3600/3750 (resamples: 54, noops dropped: 445)
wrote 3750 tasks -> data\s4c_shards\plain_4.jsonl (resamples: 55, noops dropped: 466)
