registered 143 generated domains
200/3250 (resamples: 6, noops dropped: 19)
400/3250 (resamples: 8, noops dropped: 33)
600/3250 (resamples: 12, noops dropped: 53)
800/3250 (resamples: 17, noops dropped: 79)
1000/3250 (resamples: 22, noops dropped: 111)
1200/3250 (resamples: 27, noops dropped: 137)
1400/3250 (resamples: 32, noops dropped: 151)
1600/3250 (resamples: 37, noops dropped: 172)
1800/3250 (resamples: 41, noops dropped: 194)
2000/3250 (resamples: 43, noops dropped: 218)
2200/3250 (resamples: 43, noops dropped: 234)
2400/3250 (resamples: 45, noops dropped: 255)
2600/3250 (resamples: 47, noops dropped: 281)
2800/3250 (resamples: 51, noops dropped: 308)
3000/3250 (resamples: 53, noops dropped: 331)
3200/3250 (resamples: 65, noops dropped: 364)
wrote 3250 tasks -> data\s5_shards\crowded_0.jsonl (resamples: 67, noops dropped: 369)
